States + DC,Count,# of Records,Total $,Average Contribution per Record,% of Total Races,% of Total Records,% of Total $,Alabama _Ivey_2022,# of Records,Total $,Alaska _Dunleavy_2022,# of Records,Total $,Arizona _Hobbs_2022,# of Records,Total $,Arkansas _Huckabee_Sanders_2022,# of Records,Total $,California _Newsom_2022,# of Records,Total $,Colorado _Polis_2022,# of Records,Total $,Connecticut _Lamont_2022,# of Records,Total $,Delaware _Meyer_2024,# of Records,Total $,Florida _DeSantis_2022,# of Records,Total $,Georgia _Kemp_2022,# of Records,Total $,Hawaii _Green_2022,# of Records,Total $,Idaho _Little_2022,# of Records,Total $,Illinois _Pritzker_2022,# of Records,Total $,Indiana _Braun_2024,# of Records,Total $,Iowa _Reynolds_2022,# of Records,Total $,Kansas _Kelly_2022,# of Records,Total $,Kentucky _Beshear_2023,# of Records,Total $,Louisiana _Landry_2023,# of Records,Total $,Maine _Mills_2022,# of Records,Total $,Maryland _Moore_2022,# of Records,Total $,Massachusetts _Healey_2022,# of Records,Total $,Michigan _Whitmer_2022,# of Records,Total $,Minnesota _Walz_2022,# of Records,Total $,Mississippi _Reeves_2023,# of Records,Total $,Missouri _Parson_2020,# of Records,Total $,Montana _Gianforte_2024,# of Records,Total $,Nebraska _Pillen_2022,# of Records,Total $,Nevada _Lombardo_2022,# of Records,Total $,New Hampshire _Ayotte_2024,# of Records,Total $,New Jersey _Murphy_2021,# of Records,Total $,New Mexico _Lujan_Grisham_2022,# of Records,Total $,New York _Hochul_2022,# of Records,Total $,North Carolina _Cooper_2020,# of Records,Total $,North Dakota _Armstrong_2024,# of Records,Total $,Ohio _DeWine_2022,# of Records,Total $,Oklahoma _Stitt_2022,# of Records,Total $,Oregon _Kotek_2022,# of Records,Total $,Pennsylvania _Shapiro_2022,# of Records,Total $,Rhode Island _McKee_2022,# of Records,Total $,South Carolina _McMaster_2022,# of Records,Total $,South Dakota _Noem_2022,# of Records,Total $,Tennessee _Lee_2022,# of Records,Total $,Texas _Abbott_2022,# of Records,Total $,Utah _Cox_2024,# of Records,Total $,Vermont _Scott_2024,# of Records,Total $,Virginia _Youngkin_2021,# of Records,Total $,Washington _Ferguson_2024,# of Records,Total $,West Virginia _Morrisey_2024,# of Records,Total $,Wisconsin _Evers_2022,# of Records,Total $,Wyoming _Gordon_2022,# of Records,Total $
DE,,,,,,,,NY,1.12%,0.38%,CO,0.09%,0.14%,CO,1.91%,1.59%,VA,2.17%,1.37%,IL,0.44%,0.68%,IL,0.33%,0.01%,CO,0.16%,0.10%,CA,3.14%,0.79%,TN,1.07%,1.02%,TN,0.43%,0.52%,MO,0.28%,1.07%,TN,0.18%,1.56%,CO,0.00%,0.00%,KY,0.88%,0.94%,MO,0.60%,0.96%,IL,1.15%,1.17%,DC,0.56%,0.65%,AL,0.22%,0.38%,TX,0.54%,0.68%,IL,1.33%,1.42%,VA,0.42%,0.60%,FL,2.68%,1.52%,VA,0.26%,0.43%,CA,0.60%,0.81%,CO,0.12%,0.16%,CO,0.38%,0.62%,AR,0.55%,0.53%,TX,0.75%,0.39%,TX,0.90%,0.72%,VA,1.05%,0.37%,IL,0.84%,1.19%,MD,0.82%,0.76%,GA,0.56%,0.35%,FL,0.62%,0.87%,KY,0.32%,0.38%,MO,0.11%,0.30%,OK,0.05%,0.35%,MA,1.97%,1.03%,AR,0.32%,0.43%,IL,0.25%,0.69%,AZ,2.84%,1.35%,NY,0.42%,0.74%,NY,1.93%,0.30%,WY,0.20%,1.49%,NY,1.19%,0.51%,MD,1.52%,0.56%,OK,0.05%,0.21%,NC,2.14%,2.80%,WA,2.03%,0.94%,TN,0.06%,0.97%
FL,,,,,,,,TX,0.78%,0.35%,VA,0.07%,0.13%,DC,0.92%,1.58%,NC,1.82%,1.34%,GA,0.45%,0.64%,MD,0.40%,0.01%,WY,0.12%,0.10%,MA,1.08%,0.77%,VA,1.46%,0.92%,MO,0.38%,0.46%,MD,0.74%,1.05%,TX,0.20%,0.79%,CT,0.00%,0.00%,MI,0.64%,0.88%,WI,0.35%,0.93%,WA,0.97%,1.16%,MA,0.82%,0.59%,SC,0.25%,0.33%,VA,0.57%,0.66%,CT,1.00%,1.14%,NJ,0.50%,0.53%,TX,1.79%,1.50%,MA,0.33%,0.40%,OH,0.39%,0.66%,IN,0.12%,0.16%,TN,0.34%,0.61%,SD,0.30%,0.50%,KS,0.15%,0.37%,TN,0.64%,0.67%,CT,0.83%,0.34%,MD,0.77%,1.16%,TX,0.65%,0.68%,PA,0.56%,0.33%,AR,0.47%,0.76%,MO,0.14%,0.38%,VA,0.16%,0.24%,MO,0.19%,0.29%,WA,1.46%,0.82%,VA,0.32%,0.34%,CA,0.73%,0.63%,VA,2.01%,1.12%,AL,0.68%,0.72%,VA,1.33%,0.28%,MO,0.79%,0.99%,CA,0.71%,0.40%,TN,0.79%,0.51%,FL,0.08%,0.19%,NY,3.08%,2.73%,FL,2.15%,0.68%,NY,0.29%,0.66%
GA,,,,,,,,AR,0.11%,0.25%,IL,0.09%,0.11%,FL,3.26%,1.53%,NY,2.93%,1.27%,UT,0.04%,0.61%,VA,0.34%,0.01%,OR,0.04%,0.08%,VA,0.78%,0.63%,NJ,1.42%,0.87%,OH,0.31%,0.32%,UT,0.57%,1.02%,MO,0.12%,0.70%,DE,0.00%,0.00%,OH,0.66%,0.62%,MN,0.74%,0.90%,PA,0.63%,1.00%,IL,0.60%,0.49%,CO,0.24%,0.31%,CO,0.28%,0.56%,TX,1.15%,0.72%,MD,0.38%,0.49%,PA,1.60%,1.10%,IL,0.45%,0.37%,AZ,0.14%,0.65%,OH,0.12%,0.16%,IL,0.29%,0.49%,MN,0.71%,0.33%,OR,0.18%,0.31%,CT,0.90%,0.67%,TX,1.00%,0.32%,WA,1.30%,0.92%,VA,0.87%,0.49%,SC,0.42%,0.30%,GA,1.40%,0.71%,TX,0.37%,0.32%,CO,0.17%,0.20%,TX,0.40%,0.23%,VA,1.41%,0.79%,NV,0.20%,0.33%,TN,0.14%,0.59%,IL,2.42%,1.09%,IL,0.96%,0.71%,PA,1.54%,0.27%,OR,0.24%,0.84%,IL,0.24%,0.32%,PA,1.02%,0.43%,MD,0.04%,0.18%,LA,1.15%,2.59%,VA,1.22%,0.58%,CT,0.12%,0.58%
HI,,,,,,,,KS,0.17%,0.11%,GA,0.13%,0.09%,PA,2.07%,1.20%,AZ,2.32%,1.26%,PA,0.20%,0.53%,NM,0.27%,0.01%,ME,0.06%,0.07%,IL,0.56%,0.48%,PA,1.94%,0.84%,CA,0.55%,0.31%,NV,0.40%,0.94%,FL,0.08%,0.57%,FL,0.00%,0.00%,AR,0.04%,0.53%,CA,3.29%,0.72%,VA,0.65%,1.00%,MD,0.59%,0.41%,GA,0.34%,0.30%,CT,0.77%,0.56%,OH,0.48%,0.64%,TX,0.31%,0.38%,MD,1.42%,1.04%,WI,0.47%,0.30%,IN,0.18%,0.44%,AL,0.04%,0.14%,LA,0.29%,0.47%,CA,0.60%,0.31%,OH,0.28%,0.27%,MD,1.27%,0.60%,MD,0.94%,0.19%,MO,0.28%,0.88%,IL,0.62%,0.42%,MA,0.80%,0.24%,CA,0.31%,0.68%,GA,0.14%,0.26%,IL,0.14%,0.14%,CO,0.36%,0.17%,CO,0.62%,0.43%,PA,0.32%,0.29%,OH,0.13%,0.39%,NC,1.58%,1.03%,CA,0.74%,0.69%,TN,1.01%,0.26%,TX,1.03%,0.81%,MD,0.48%,0.32%,MO,0.33%,0.42%,AZ,0.13%,0.13%,CO,1.90%,2.34%,NJ,1.45%,0.50%,OR,0.29%,0.56%
IA,,,,,,,,LA,0.28%,0.10%,NY,0.07%,0.09%,OR,2.36%,1.08%,IL,2.76%,1.17%,TN,0.07%,0.53%,AZ,0.36%,0.01%,RI,0.12%,0.06%,TX,0.80%,0.36%,MI,1.51%,0.79%,SC,0.38%,0.29%,MA,0.59%,0.86%,VA,0.16%,0.48%,GA,0.00%,0.00%,AZ,0.33%,0.40%,NY,1.26%,0.46%,FL,0.78%,0.96%,TX,0.60%,0.39%,MO,0.38%,0.24%,NH,0.57%,0.53%,MA,1.38%,0.62%,PA,0.25%,0.29%,OH,1.38%,0.85%,SD,0.07%,0.30%,MD,0.09%,0.43%,OK,0.04%,0.12%,WY,0.21%,0.41%,FL,0.30%,0.29%,CO,0.13%,0.27%,AZ,0.34%,0.48%,NC,0.47%,0.18%,LA,0.16%,0.87%,CO,0.36%,0.28%,NJ,0.52%,0.24%,VA,1.55%,0.57%,NY,0.18%,0.22%,NY,0.17%,0.14%,IL,0.29%,0.17%,CT,0.79%,0.36%,MD,0.30%,0.27%,LA,0.06%,0.35%,CO,2.29%,1.03%,MO,0.23%,0.55%,MI,1.40%,0.26%,MD,0.44%,0.61%,NC,0.24%,0.32%,NY,1.32%,0.39%,PA,0.04%,0.13%,TN,2.16%,2.27%,CO,1.02%,0.49%,NE,0.17%,0.54%
ID,,,,,,,,IL,0.17%,0.09%,MD,0.07%,0.08%,VA,2.01%,1.07%,WA,2.43%,1.05%,VA,0.20%,0.47%,OR,0.17%,0.01%,MN,0.04%,0.05%,SC,0.16%,0.29%,MA,0.98%,0.67%,AL,0.37%,0.27%,PA,1.05%,0.68%,NY,0.08%,0.43%,HI,0.00%,0.00%,MN,0.24%,0.37%,AR,0.28%,0.44%,MD,0.80%,0.95%,CT,0.30%,0.38%,PA,0.37%,0.17%,WA,0.37%,0.52%,GA,0.85%,0.57%,CO,0.26%,0.26%,VA,1.27%,0.75%,CO,0.16%,0.27%,VA,0.44%,0.35%,CT,0.14%,0.11%,PA,0.26%,0.39%,AZ,0.35%,0.24%,GA,0.23%,0.26%,GA,0.37%,0.41%,NH,0.33%,0.15%,MA,0.90%,0.69%,MO,0.23%,0.23%,TX,0.67%,0.20%,MD,1.09%,0.56%,WV,0.24%,0.21%,KY,0.05%,0.12%,FL,0.21%,0.10%,IN,0.26%,0.34%,SC,0.16%,0.25%,PA,0.23%,0.32%,PA,2.46%,0.95%,MS,0.58%,0.48%,CO,1.14%,0.23%,FL,0.40%,0.55%,RI,0.24%,0.32%,MI,0.50%,0.32%,VA,0.04%,0.12%,NV,1.30%,2.13%,TX,1.62%,0.49%,SD,0.12%,0.49%
IL,,,,,,,,WA,0.45%,0.07%,MI,0.07%,0.06%,NJ,2.15%,1.04%,PA,2.92%,0.87%,MO,0.13%,0.41%,CT,0.15%,0.01%,MD,0.06%,0.04%,AZ,0.21%,0.25%,AZ,1.34%,0.66%,NY,0.32%,0.27%,CO,0.91%,0.59%,AR,0.06%,0.42%,IA,0.00%,0.00%,MO,0.20%,0.33%,OH,0.76%,0.42%,MN,0.33%,0.56%,VA,0.42%,0.37%,NY,0.35%,0.15%,NJ,0.46%,0.45%,NC,0.76%,0.42%,ME,0.25%,0.24%,OK,0.21%,0.73%,NJ,0.08%,0.23%,PA,0.25%,0.29%,MD,0.04%,0.11%,ID,0.24%,0.38%,CO,0.71%,0.23%,VA,0.20%,0.22%,NC,0.30%,0.29%,KY,0.25%,0.09%,PA,0.72%,0.63%,GA,0.21%,0.20%,IL,0.52%,0.19%,SD,0.93%,0.42%,IN,0.23%,0.20%,IN,0.06%,0.11%,PA,0.32%,0.08%,TX,1.31%,0.30%,TX,0.22%,0.21%,NY,0.27%,0.31%,GA,1.57%,0.95%,NE,0.29%,0.44%,MO,0.90%,0.23%,OH,0.28%,0.45%,WA,0.24%,0.32%,OH,0.59%,0.31%,IL,0.04%,0.10%,IL,2.70%,2.03%,CT,0.67%,0.45%,FL,0.40%,0.42%
IN,,,,,,,,PA,0.34%,0.07%,LA,0.04%,0.05%,CT,1.13%,0.85%,OK,1.26%,0.85%,CT,0.18%,0.38%,NV,0.23%,0.01%,MI,0.12%,0.03%,CT,0.47%,0.23%,SC,0.79%,0.55%,MI,0.10%,0.23%,DE,0.37%,0.55%,LA,0.04%,0.42%,ID,0.00%,0.00%,GA,0.24%,0.32%,AZ,0.96%,0.41%,NJ,0.52%,0.50%,NC,0.29%,0.27%,OH,0.38%,0.15%,MO,0.18%,0.37%,DE,0.33%,0.37%,IL,0.25%,0.21%,WI,1.01%,0.62%,PA,0.18%,0.20%,AR,0.41%,0.28%,NV,0.05%,0.10%,NY,0.26%,0.34%,ID,0.10%,0.23%,WA,0.11%,0.21%,RI,0.34%,0.21%,GA,0.19%,0.09%,UT,0.13%,0.63%,NH,0.08%,0.20%,MO,0.15%,0.18%,NC,0.47%,0.41%,TN,0.12%,0.18%,NJ,0.06%,0.10%,TN,0.15%,0.06%,MN,0.37%,0.25%,IL,0.24%,0.18%,AZ,0.20%,0.28%,AR,0.49%,0.88%,IN,0.26%,0.33%,MD,0.94%,0.23%,KS,0.08%,0.44%,WI,0.24%,0.32%,WA,0.44%,0.23%,NM,0.06%,0.09%,SC,1.31%,1.93%,PA,1.32%,0.40%,IL,0.12%,0.39%
KS,,,,,,,,SC,0.22%,0.05%,NV,0.11%,0.05%,MN,1.08%,0.62%,MI,2.24%,0.83%,NJ,0.22%,0.38%,MI,0.23%,0.01%,GA,0.04%,0.03%,CO,0.15%,0.21%,MO,0.75%,0.54%,NC,0.29%,0.23%,AZ,0.25%,0.50%,PA,0.04%,0.42%,IN,0.00%,0.00%,NC,0.18%,0.29%,VA,0.80%,0.32%,OR,0.54%,0.49%,MI,0.38%,0.26%,NC,0.32%,0.14%,IL,0.36%,0.37%,WA,0.68%,0.33%,GA,0.08%,0.10%,CT,0.81%,0.60%,NV,0.03%,0.19%,SC,0.16%,0.24%,WA,0.04%,0.10%,MI,0.18%,0.28%,GA,0.30%,0.21%,DE,0.08%,0.19%,SC,0.22%,0.20%,MI,0.17%,0.09%,CT,0.38%,0.62%,MI,0.24%,0.19%,TN,0.33%,0.16%,MO,0.31%,0.31%,IL,0.20%,0.18%,OH,0.07%,0.09%,CT,0.07%,0.05%,MI,0.72%,0.23%,NH,0.16%,0.16%,MI,0.22%,0.27%,WA,2.89%,0.79%,UT,0.32%,0.31%,GA,1.42%,0.21%,LA,0.28%,0.28%,MA,0.48%,0.22%,AR,0.11%,0.22%,CO,0.05%,0.06%,WA,2.51%,1.76%,MO,0.49%,0.38%,NV,0.17%,0.37%
KY,,,,,,,,MI,0.67%,0.04%,WY,0.04%,0.05%,NM,1.03%,0.61%,OH,2.28%,0.80%,NV,0.21%,0.37%,IA,0.20%,0.01%,PA,0.16%,0.03%,NC,0.18%,0.20%,OH,1.57%,0.46%,KS,0.07%,0.21%,CT,0.20%,0.46%,SC,0.04%,0.42%,KS,0.00%,0.00%,CA,0.31%,0.29%,CO,0.57%,0.31%,OH,0.38%,0.44%,PA,0.28%,0.24%,IL,0.38%,0.13%,VT,0.22%,0.33%,SC,0.30%,0.29%,WA,0.19%,0.10%,NJ,1.55%,0.56%,AZ,0.13%,0.19%,GA,0.28%,0.14%,VA,0.11%,0.10%,DC,0.15%,0.27%,TX,0.55%,0.18%,MT,0.07%,0.19%,PA,0.41%,0.17%,MO,0.14%,0.07%,VA,0.66%,0.60%,IN,0.18%,0.18%,MI,0.22%,0.14%,WA,0.31%,0.30%,AR,0.08%,0.16%,NE,0.08%,0.08%,VA,0.22%,0.05%,OH,0.66%,0.22%,MO,0.10%,0.14%,MA,0.15%,0.21%,OH,2.17%,0.78%,MN,0.13%,0.29%,OH,1.29%,0.19%,TN,0.16%,0.27%,CT,0.48%,0.18%,SC,0.55%,0.19%,CT,0.02%,0.06%,NJ,1.54%,1.71%,MI,1.22%,0.38%,CA,0.52%,0.36%
LA,,,,,,,,NE,1.12%,0.01%,NC,0.04%,0.04%,MI,1.30%,0.58%,CO,1.50%,0.72%,OH,0.13%,0.32%,WI,0.17%,0.01%,NJ,0.14%,0.03%,OH,0.13%,0.17%,UT,0.49%,0.43%,MS,0.15%,0.19%,IL,0.42%,0.44%,NC,0.10%,0.32%,KY,0.00%,0.00%,TN,0.15%,0.24%,NE,0.88%,0.31%,CT,0.35%,0.42%,WV,0.13%,0.24%,KY,0.17%,0.13%,NC,0.29%,0.28%,CO,0.40%,0.22%,NC,0.13%,0.09%,MO,0.55%,0.47%,MT,0.03%,0.16%,NV,0.21%,0.14%,NC,0.04%,0.09%,GA,0.16%,0.25%,UT,0.15%,0.17%,NE,0.05%,0.14%,CO,0.19%,0.16%,TN,0.11%,0.06%,OK,0.18%,0.44%,MN,0.21%,0.17%,WA,0.42%,0.14%,IL,0.47%,0.26%,MD,0.19%,0.16%,AZ,0.08%,0.07%,NJ,0.18%,0.04%,MO,0.45%,0.22%,AZ,0.08%,0.14%,MD,0.22%,0.19%,KS,0.81%,0.73%,PA,0.13%,0.21%,AR,0.46%,0.18%,GA,0.20%,0.27%,NJ,0.24%,0.10%,NC,1.02%,0.15%,MT,0.02%,0.06%,DC,0.15%,1.66%,OR,1.12%,0.26%,PA,0.23%,0.28%
MA,,,,,,,,MD,0.22%,0.00%,NJ,0.09%,0.04%,NV,0.63%,0.51%,AL,1.00%,0.70%,MN,0.08%,0.29%,PA,0.17%,0.01%,AZ,0.16%,0.02%,IN,0.10%,0.12%,MN,0.73%,0.42%,CT,0.21%,0.16%,TN,0.20%,0.38%,NV,0.10%,0.28%,LA,0.00%,0.00%,PA,0.11%,0.17%,MI,0.80%,0.29%,NC,0.36%,0.36%,MO,0.18%,0.23%,CT,0.12%,0.12%,OH,0.19%,0.27%,MN,0.27%,0.21%,VT,0.12%,0.09%,MN,0.94%,0.43%,IA,0.08%,0.14%,UT,0.07%,0.11%,SD,0.03%,0.09%,SD,0.26%,0.25%,DC,0.55%,0.17%,NC,0.08%,0.13%,NJ,0.26%,0.16%,CO,0.14%,0.06%,NJ,0.77%,0.34%,TN,0.14%,0.14%,LA,0.07%,0.10%,OR,0.31%,0.19%,NC,0.12%,0.13%,LA,0.03%,0.06%,NC,0.10%,0.04%,WI,0.32%,0.21%,CO,0.06%,0.08%,OK,0.06%,0.18%,LA,0.89%,0.66%,LA,0.16%,0.21%,LA,0.79%,0.17%,NC,0.16%,0.24%,ME,0.24%,0.06%,MA,0.46%,0.13%,NJ,0.10%,0.06%,MI,2.54%,1.61%,NC,0.71%,0.22%,MO,0.12%,0.24%
MD,,,,,,,,MO,0.06%,0.00%,DC,0.02%,0.02%,NC,1.21%,0.46%,MS,0.60%,0.63%,MA,0.40%,0.21%,NC,0.16%,0.01%,NC,0.06%,0.01%,RI,0.15%,0.12%,MD,0.81%,0.38%,PA,0.28%,0.16%,GA,0.06%,0.30%,MT,0.04%,0.21%,MA,0.00%,0.00%,CT,0.20%,0.17%,NC,0.58%,0.20%,OK,0.20%,0.32%,LA,0.12%,0.23%,NV,0.09%,0.11%,RI,0.25%,0.26%,MI,0.46%,0.20%,MO,0.07%,0.08%,IN,0.66%,0.43%,OH,0.12%,0.13%,KY,0.16%,0.10%,IA,0.03%,0.06%,NJ,0.18%,0.24%,NV,0.10%,0.13%,RI,0.05%,0.12%,OH,0.15%,0.15%,WA,0.14%,0.05%,GA,0.30%,0.32%,NC,0.28%,0.13%,CO,0.30%,0.09%,WY,0.62%,0.19%,MN,0.05%,0.11%,MD,0.16%,0.05%,AZ,0.24%,0.04%,GA,0.54%,0.19%,TN,0.06%,0.08%,NJ,0.13%,0.15%,IA,1.42%,0.66%,MA,0.10%,0.18%,NJ,1.03%,0.17%,IL,0.28%,0.23%,TN,0.24%,0.06%,NJ,0.55%,0.13%,MS,0.01%,0.05%,KY,0.82%,1.56%,AZ,0.87%,0.20%,AR,0.12%,0.19%
ME,,,,,,,,CA,0.89%,0.00%,CA,0.22%,0.02%,OH,1.03%,0.44%,SC,1.11%,0.59%,MI,0.13%,0.21%,MO,0.20%,0.00%,VT,0.06%,0.01%,MI,0.36%,0.12%,CT,0.53%,0.30%,IN,0.16%,0.14%,OH,0.17%,0.28%,AL,0.04%,0.21%,MD,0.00%,0.00%,SD,0.04%,0.16%,MA,0.29%,0.20%,AZ,0.48%,0.30%,GA,0.20%,0.15%,MA,0.28%,0.11%,TN,0.22%,0.22%,AZ,0.38%,0.19%,NV,0.08%,0.08%,GA,0.66%,0.43%,OK,0.08%,0.12%,NC,0.11%,0.06%,PA,0.03%,0.05%,CT,0.13%,0.19%,NC,0.10%,0.09%,PA,0.11%,0.11%,MO,0.11%,0.15%,OH,0.11%,0.04%,NV,0.16%,0.32%,RI,0.11%,0.11%,MS,0.05%,0.08%,MI,0.16%,0.14%,CT,0.17%,0.09%,WA,0.15%,0.05%,OH,0.05%,0.03%,OK,0.17%,0.18%,OK,0.04%,0.04%,IN,0.06%,0.14%,MO,1.18%,0.64%,CT,0.13%,0.18%,WI,0.63%,0.16%,MN,0.20%,0.18%,AK,0.00%,0.00%,AL,0.29%,0.12%,NC,0.03%,0.05%,OK,1.74%,1.53%,GA,0.54%,0.20%,ND,0.06%,0.19%
MI,,,,,,,,NJ,0.73%,0.00%,PA,0.06%,0.01%,MO,0.72%,0.39%,WI,1.18%,0.58%,IA,0.05%,0.19%,MT,0.13%,0.00%,WA,0.12%,0.00%,WA,0.15%,0.10%,KY,0.46%,0.28%,NJ,0.36%,0.12%,WY,0.17%,0.25%,WY,0.06%,0.16%,ME,0.00%,0.00%,UT,0.04%,0.13%,IN,0.43%,0.17%,MI,0.42%,0.30%,NJ,0.29%,0.13%,MD,0.26%,0.11%,GA,0.31%,0.20%,MO,0.24%,0.14%,TN,0.04%,0.07%,OR,1.11%,0.42%,CT,0.13%,0.12%,IL,0.18%,0.06%,MN,0.03%,0.04%,AL,0.11%,0.17%,RI,0.05%,0.09%,MN,0.07%,0.11%,NV,0.07%,0.13%,MT,0.06%,0.04%,TN,0.21%,0.27%,SC,0.09%,0.09%,OH,0.25%,0.07%,SC,0.16%,0.14%,AZ,0.09%,0.09%,NV,0.07%,0.05%,GA,0.10%,0.03%,SD,0.06%,0.16%,AK,0.02%,0.04%,AL,0.03%,0.14%,WI,1.22%,0.57%,CO,0.10%,0.16%,NC,1.12%,0.16%,IN,0.16%,0.14%,AL,0.00%,0.00%,CO,0.62%,0.09%,ID,0.11%,0.05%,MD,1.24%,1.50%,OH,0.85%,0.19%,OH,0.17%,0.19%
MN,,,,,,,,KY,0.28%,0.00%,HI,0.02%,0.01%,TN,0.56%,0.29%,KS,0.90%,0.54%,OR,0.45%,0.17%,NJ,0.19%,0.00%,MT,0.02%,0.00%,MO,0.08%,0.09%,WI,0.75%,0.28%,LA,0.14%,0.11%,NE,0.08%,0.22%,OH,0.10%,0.14%,MI,0.00%,0.00%,MD,0.20%,0.13%,KS,0.38%,0.16%,NV,0.07%,0.19%,NV,0.05%,0.11%,MI,0.33%,0.10%,OR,0.46%,0.19%,NV,0.13%,0.14%,KY,0.04%,0.06%,NC,0.95%,0.41%,OR,0.17%,0.12%,CT,0.02%,0.04%,NJ,0.03%,0.03%,MS,0.11%,0.16%,NY,0.25%,0.05%,NJ,0.07%,0.11%,WY,0.07%,0.13%,SD,0.06%,0.04%,AR,0.10%,0.25%,KY,0.08%,0.09%,IN,0.16%,0.06%,WV,0.16%,0.14%,NJ,0.12%,0.08%,WY,0.02%,0.05%,KS,0.01%,0.03%,OR,0.83%,0.12%,GA,0.04%,0.04%,OR,0.03%,0.13%,WY,0.94%,0.56%,KY,0.19%,0.15%,WA,1.27%,0.16%,AL,0.08%,0.14%,AR,0.00%,0.00%,NV,0.34%,0.08%,AR,0.01%,0.04%,MO,1.83%,1.41%,NM,0.43%,0.16%,MT,0.29%,0.16%
MO,,,,,,,,MA,0.17%,0.00%,NE,0.02%,0.01%,WI,0.66%,0.29%,CT,0.80%,0.52%,MD,0.29%,0.15%,VT,0.07%,0.00%,OK,0.02%,0.00%,ME,0.03%,0.07%,DE,0.17%,0.28%,MD,0.19%,0.10%,NJ,0.31%,0.22%,HI,0.04%,0.13%,MN,0.00%,0.00%,MA,0.09%,0.12%,MD,0.73%,0.15%,GA,0.40%,0.16%,CO,0.47%,0.10%,OK,0.11%,0.10%,MI,0.18%,0.17%,NH,0.14%,0.13%,UT,0.03%,0.04%,AZ,0.83%,0.33%,GA,0.10%,0.11%,CO,0.11%,0.02%,AR,0.03%,0.02%,VA,0.10%,0.14%,MA,0.05%,0.04%,HI,0.11%,0.10%,VT,0.22%,0.12%,AZ,0.08%,0.04%,MS,0.03%,0.25%,UT,0.02%,0.09%,UT,0.06%,0.06%,NY,0.78%,0.11%,MA,0.08%,0.07%,NC,0.07%,0.05%,ID,0.06%,0.03%,AZ,0.60%,0.11%,OH,0.40%,0.03%,AR,0.03%,0.13%,NV,1.07%,0.54%,KS,0.06%,0.11%,CT,0.46%,0.13%,OK,0.04%,0.13%,AZ,0.00%,0.00%,WY,0.10%,0.07%,MO,0.01%,0.04%,AZ,2.75%,1.29%,TN,0.43%,0.13%,KY,0.17%,0.14%
MS,,,,,,,,WV,0.17%,0.00%,ID,0.04%,0.01%,GA,0.91%,0.29%,NJ,1.56%,0.47%,AL,0.05%,0.14%,LA,0.12%,0.00%,NV,0.04%,0.00%,NV,0.03%,0.07%,NC,1.31%,0.24%,CO,0.13%,0.09%,OR,0.40%,0.20%,GA,0.02%,0.11%,MS,0.00%,0.00%,SC,0.07%,0.11%,NJ,0.44%,0.11%,TN,0.13%,0.16%,OK,0.06%,0.09%,ID,0.07%,0.10%,AZ,0.35%,0.15%,TN,0.23%,0.10%,MN,0.06%,0.04%,NV,0.32%,0.30%,WY,0.01%,0.10%,KS,0.09%,0.02%,LA,0.03%,0.01%,IN,0.10%,0.13%,WY,0.05%,0.04%,CT,0.16%,0.10%,IL,0.11%,0.11%,DE,0.11%,0.04%,ID,0.06%,0.24%,DE,0.14%,0.08%,ME,0.12%,0.05%,IN,0.31%,0.08%,CO,0.09%,0.06%,GA,0.04%,0.04%,MN,0.09%,0.02%,NC,0.53%,0.10%,WI,0.06%,0.02%,CO,0.28%,0.11%,AL,0.65%,0.53%,MD,0.06%,0.10%,IN,0.79%,0.12%,AR,0.08%,0.10%,CO,0.00%,0.00%,AZ,0.69%,0.07%,AK,0.01%,0.03%,OR,1.79%,1.08%,OK,0.19%,0.13%,MD,0.06%,0.10%
MT,,,,,,,,IN,0.22%,0.00%,OR,0.04%,0.00%,ME,0.38%,0.25%,MD,1.25%,0.47%,DE,0.02%,0.11%,TN,0.07%,0.00%,TN,0.02%,0.00%,OR,0.18%,0.06%,IN,0.89%,0.22%,AR,0.08%,0.09%,MN,0.23%,0.19%,MD,0.08%,0.09%,MT,0.00%,0.00%,NJ,0.11%,0.10%,NV,0.42%,0.11%,NM,0.30%,0.15%,AZ,0.13%,0.09%,MN,0.22%,0.08%,SC,0.11%,0.14%,IN,0.25%,0.10%,OK,0.06%,0.04%,TN,0.38%,0.28%,SC,0.10%,0.09%,MI,0.07%,0.02%,ID,0.03%,0.01%,MD,0.21%,0.13%,MD,0.05%,0.02%,UT,0.15%,0.09%,IN,0.11%,0.08%,RI,0.06%,0.03%,RI,0.08%,0.24%,WA,0.49%,0.08%,RI,0.06%,0.05%,KY,0.31%,0.08%,NE,0.06%,0.05%,MN,0.02%,0.04%,NV,0.02%,0.02%,DE,0.29%,0.07%,HI,0.02%,0.01%,MS,0.07%,0.10%,MT,0.61%,0.52%,SC,0.35%,0.08%,MA,0.78%,0.11%,NJ,0.12%,0.09%,DE,0.00%,0.00%,KS,0.10%,0.06%,GA,0.03%,0.03%,IN,1.35%,0.77%,VT,0.26%,0.11%,MA,0.23%,0.08%
